sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,address,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,neighborhood_id,house_type_id,district_id
110.0,4,2,40.4874569,-3.7266204,barrio Arroyo del Fresno,460000.0,0,0,1,1,1,2.0,64,0,8
84.0,2,2,40.4655984,-3.7154639,Calle Valdeverdeja,329900.0,0,0,1,1,1,1.0,40,0,9
255.0,8,7,40.4765918,-3.7309217,barrio Peñagrande,1180000.0,0,0,0,0,0,0.0,58,3,8
758.0,6,7,40.48703,-3.70943,barrio Mirasierra,2595000.0,0,0,0,0,1,0.0,62,3,8
148.0,3,2,40.4884292,-3.6997202,barrio Mirasierra,738000.0,0,0,0,0,0,0.0,62,3,8
545.0,6,5,40.4892427,-3.7020799,barrio Mirasierra,1850000.0,0,0,0,0,1,0.0,62,3,8
590.0,12,4,40.490578,-3.7122039,barrio Mirasierra,2400000.0,0,0,0,0,1,0.0,62,3,8
243.0,4,3,40.493109,-3.702574,barrio Mirasierra,1375000.0,0,0,0,0,1,0.0,62,3,8
590.0,4,5,40.4902378,-3.7035622,barrio Mirasierra,2700000.0,0,0,0,0,1,0.0,62,3,8
600.0,7,7,40.4923197,-3.7022308,barrio Mirasierra,2290000.0,0,0,0,0,1,0.0,62,3,8
653.0,8,8,40.4897523,-3.7065989,barrio Mirasierra,1620000.0,0,0,0,0,1,0.0,62,3,8
342.0,5,5,40.4734343,-3.7312553,barrio Ciudad Universitaria,895000.0,0,0,1,1,1,5.0,39,0,9
385.0,5,5,40.47387,-3.72979,barrio Peñagrande,930000.0,0,0,0,0,1,0.0,58,3,8
189.0,4,2,40.487749,-3.699492,barrio La Paz,585000.0,0,0,1,1,0,9.0,57,0,8
153.0,4,2,40.485202,-3.7041471,barrio La Paz,550000.0,0,0,1,1,0,12.0,57,0,8
623.0,6,6,40.469999,-3.7271542,barrio Ciudad Universitaria,1500000.0,0,0,0,0,1,0.0,39,3,9
463.0,4,5,40.4680338,-3.7235348,barrio Ciudad Universitaria,1395000.0,0,0,0,0,1,0.0,39,3,9
148.0,3,3,40.4685267,-3.693593,Calle de San Benito,485000.0,0,0,1,1,1,3.0,23,1,6
732.0,5,7,40.4902815,-3.7044044,barrio Mirasierra,2300000.0,0,0,0,0,0,0.0,62,3,8
662.0,6,5,40.4734622,-3.7305433,barrio Ciudad Universitaria,3200000.0,0,0,0,0,0,0.0,39,3,9
