sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,address,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,neighborhood_id,house_type_id,district_id
112.0,2,1,40.3697983,-3.7092464,Calle Gran Avenida,175000.0,0,0,0,1,0,2.0,12,0,12
101.0,4,1,40.3423233,-3.7110547,Avenida de Espinela,145630.0,0,0,0,1,0,1.0,2,0,17
108.0,4,1,40.3447442,-3.7080979,Calle Magnesia,168630.0,0,0,0,1,0,1.0,2,0,17
93.0,3,1,40.3533932,-3.699726,Calle de la Vírgen de los Desamparados,185000.0,0,0,1,1,0,7.0,1,0,17
90.0,3,1,40.3674764,-3.6892404,Calle Periana,149000.0,0,0,1,1,0,0.0,13,0,12
133.0,3,2,40.3660675,-3.7037003,Calle Trevélez,187000.0,0,0,0,1,1,0.0,12,0,12
110.0,3,2,40.3544101,-3.6845894,Calle San Gervasio,249900.0,0,0,1,1,1,3.0,5,0,17
108.0,3,1,40.3672518,-3.6997188,barrio 12 de Octubre-Orcasur,145000.0,0,0,1,0,0,6.0,18,0,12
111.0,3,2,40.3633098,-3.6960554,Calle alerce,178000.0,0,1,0,1,0,1.0,18,0,12
96.0,3,2,40.349132,-3.6979386,Calle Romeral,135000.0,0,0,0,1,0,4.0,1,0,17
83.0,3,1,40.3491631,-3.6917062,barrio Los Rosales,120000.0,0,0,0,0,0,0.0,3,0,17
61.0,2,1,40.3683552,-3.6880194,Calle Periana,195000.0,0,0,1,1,1,2.0,13,0,12
69.0,3,1,40.343259,-3.7133419,Paseo de Alberto Palacios,113000.0,0,0,0,1,0,3.0,2,0,17
98.0,3,2,40.3541047,-3.7011854,Calle Hermandad de Donantes de Sangre s/n,190000.0,0,0,1,1,0,1.0,1,0,17
95.0,3,1,40.3627966,-3.6988845,Canción del Olvido,152000.0,0,0,1,1,0,3.0,1,0,17
110.0,3,2,40.3663,-3.6852713,Calle Periana,239000.0,0,0,1,1,1,1.0,13,0,12
51.0,1,1,40.3471899,-3.7043796,"Paseo Talleres , 17",163000.0,1,0,1,1,1,3.0,2,0,17
74.0,2,2,40.3471899,-3.7043796,"Paseo Talleres , 17",191000.0,1,0,1,1,1,2.0,2,0,17
124.0,2,2,40.3471899,-3.7043796,"Paseo Talleres , 17",291000.0,1,0,1,1,1,5.0,2,2,17
61.0,3,1,40.339958,-3.689931,Calle de Rocafort,108700.0,0,0,0,1,0,1.0,4,0,17
